file,label,score
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,neu,0.5863179564476013
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,neu,0.5407117605209351
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,neu,0.9220257997512817
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,neu,0.48442989587783813
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,neu,0.45297348499298096
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,neu,0.5030403137207031
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,neu,0.9323065280914307
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,neu,0.798604428768158
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,neu,0.5364940166473389
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,neu,0.6236504316329956
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,neu,0.8237301111221313
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,neu,0.7176863551139832
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,neu,0.7009996175765991
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,neu,0.5735476016998291
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,neu,0.9232571125030518
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,neu,0.48228323459625244
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,ang,0.7756273746490479
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,hap,0.6626654267311096
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,ang,0.678907036781311
C:\Users\sagni\Downloads\Emotion from Voice\archive (1)\audio_speech_actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,ang,0.6445130109786987
